Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
SREEL,EQ,18-May-16,153.7,150,150,150,150,150,150,40,6000,1,40,100
SREEL,EQ,26-May-16,150,146,155,145.5,150,150,146.51,56,8204.5,6,51,91.07
SREEL,EQ,27-May-16,150,147,147,144,144,144,145.5,2,291,2,2,100
SREEL,EQ,30-May-16,144,140,140,137,137,137,138.5,4,554,4,4,100
SREEL,EQ,31-May-16,137,133,133,133,133,133,133,1,133,1,1,100
SREEL,EQ,1-Jun-16,133,139,139,126.35,126.35,126.35,130.55,69,9007.7,8,39,56.52
SREEL,EQ,3-Jun-16,126.35,121,132.65,120.05,132.65,132.65,125.72,351,44126.65,8,51,14.53
SREEL,EQ,6-Jun-16,132.65,139,139,139,139,139,139,1,139,1,1,100
SREEL,EQ,7-Jun-16,139,145,145,145,145,145,145,1,145,1,1,100
SREEL,EQ,8-Jun-16,145,150,150,140,140,140,146.5,1000,146500,2,1000,100
SREEL,EQ,9-Jun-16,140,147,147,140,140,140,140.01,604,84567,3,604,100
SREEL,EQ,13-Jun-16,140,147,147,147,147,147,147,1,147,1,1,100
SREEL,EQ,15-Jun-16,147,154,154,147,147,147,147.16,87,12802.5,6,86,98.85
SREEL,EQ,16-Jun-16,147,150,150,150,150,150,150,1,150,1,1,100
SREEL,EQ,20-Jun-16,150,150,150,150,150,150,150,5,750,2,5,100
SREEL,EQ,21-Jun-16,150,150,150,150,150,150,150,1,150,1,1,100
SREEL,EQ,22-Jun-16,150,144,144,144,144,144,144,7,1008,2,7,100
SREEL,EQ,23-Jun-16,144,144,151.2,144,151.2,151.2,148.5,94,13958.6,5,94,100
SREEL,EQ,24-Jun-16,151.2,158,158,157.95,157.95,157.95,158,102,16115.9,2,102,100
SREEL,EQ,27-Jun-16,157.95,157.9,165,157.9,165,165,158.03,55,8691.9,4,55,100
SREEL,EQ,28-Jun-16,165,173,173,160,160,160,168.84,90,15196,10,88,97.78
SREEL,EQ,29-Jun-16,160,155,160,155,156,156,155.69,16,2491,3,16,100
SREEL,EQ,30-Jun-16,156,155,155,149,149,149,154.14,7,1079,2,7,100
SREEL,EQ,1-Jul-16,149,154,154,154,154,154,154,1,154,1,1,100
SREEL,EQ,4-Jul-16,154,150,160,146.3,160,156,147.43,26,3833.3,6,24,92.31
SREEL,EQ,5-Jul-16,156,163.8,163.8,152,152,152,160.98,8,1287.8,3,8,100
SREEL,EQ,7-Jul-16,152,152,159.6,144.4,159.6,159.6,151.96,117,17779.8,10,67,57.26
SREEL,EQ,8-Jul-16,159.6,153,167.55,153,167.55,167.55,167.38,139,23266.35,7,138,99.28
SREEL,EQ,11-Jul-16,167.55,168,168,168,168,168,168,1,168,1,1,100
SREEL,EQ,12-Jul-16,168,161,176.4,160,176.4,176.4,176.39,8719,1537985.4,26,8517,97.68
SREEL,EQ,13-Jul-16,176.4,182,185,182,185,185,184.56,3132,578031.5,45,2672,85.31
SREEL,EQ,14-Jul-16,185,185,194,179,179,179.95,186.59,415,77433.8,19,342,82.41
SREEL,EQ,15-Jul-16,179.95,185,185,171,171,171,176.12,41,7221,6,41,100
SREEL,EQ,18-Jul-16,171,165,165,163,163,163,164,4,656,2,4,100
SREEL,EQ,19-Jul-16,163,163,170,163,170,170,165.33,3,496,2,3,100
SREEL,EQ,20-Jul-16,170,170,178,165.1,165.1,165.1,168.38,189,31822.9,4,189,100
SREEL,EQ,21-Jul-16,165.1,165.1,165.1,165.1,165.1,165.1,165.1,20,3302,1,20,100
SREEL,EQ,22-Jul-16,165.1,170,170,169,169,169,169.71,17,2885,2,17,100
SREEL,EQ,25-Jul-16,169,163,163,162,162,162.15,162.17,6,973,2,6,100
SREEL,EQ,26-Jul-16,162.15,162,170,156,167,167,163.82,34,5570,14,20,58.82
SREEL,EQ,29-Jul-16,167,161,170,159,160,160,163.44,34,5557,10,28,82.35
SREEL,EQ,1-Aug-16,160,160,168,160,168,168,165.27,11,1818,8,10,90.91
SREEL,EQ,2-Aug-16,168,170,170,168,168,168,169.28,156,26408,3,156,100
SREEL,EQ,3-Aug-16,168,176,176,171,171,172.8,174.98,5223,913905.1,14,5223,100
SREEL,EQ,4-Aug-16,172.8,177,181,177,180,180,180.68,205,37040,8,205,100
SREEL,EQ,5-Aug-16,180,180,181.85,175,181.85,181.85,179.42,18,3229.6,6,16,88.89
SREEL,EQ,9-Aug-16,181.85,182,182,181,181,181,181.44,9,1633,3,9,100
SREEL,EQ,10-Aug-16,181,181,181,172,172,174.1,174.41,23,4011.5,6,23,100
SREEL,EQ,11-Aug-16,174.1,166,179,166,179,178.5,175.24,4,700.95,4,2,50
SREEL,EQ,12-Aug-16,178.5,178.5,181,178,178,178,180.71,71,12830.5,10,67,94.37
SREEL,EQ,16-Aug-16,178,179,179,178.5,178.5,178.5,178.63,43,7681,5,43,100
